id,label,pagerank,degree,weighted degree,betweenness,modularity_class,eigencentrality,top names
Ottyn-Wythers,Ottyn Wythers,7.56E-04,4,15,5.638827839,1,0.043770144,
Jon-Fossoway,Jon Fossoway,3.32E-04,1,3,0,3,0.003636385,
Lark,Lark,0.001190711,6,30,817.119869,1,0.045697891,
Rattleshirt,Rattleshirt,0.001809303,11,129,26.09792593,1,0.059887501,
Kyra,Kyra,3.44E-04,1,4,0,6,0.016261803,
Lorent-Caswell,Lorent Caswell,3.12E-04,1,3,0,7,0.017099516,
Lorren,Lorren,0.002056419,8,31,1184.701309,6,0.022342788,
Urzen,Urzen,5.62E-04,2,6,0,6,0.017616,
Martyn-Rivers,Martyn Rivers,3.16E-04,1,3,0,5,0.024166275,
Trystane-Martell,Trystane Martell,4.68E-04,2,17,20.24422223,3,0.013208151,
Olyvar-Frey,Olyvar Frey,4.51E-04,2,16,0,5,0.028609315,
Palla,Palla,4.90E-04,2,6,0,6,0.023608006,
Perwyn-Frey,Perwyn Frey,4.87E-04,2,9,0,5,0.026603761,
Qyburn,Qyburn,0.002519689,18,127,536.8367556,3,0.217859745,Qyburn
Steffon-Baratheon,Steffon Baratheon,4.43E-04,2,6,0,7,0.043219916,
Robett-Glover,Robett Glover,0.001177704,7,24,157.914524,7,0.050609762,
Shadd,Shadd,3.60E-04,1,3,0,5,0.002437486,
Werlag,Werlag,5.64E-04,2,6,0,6,0.01731193,
Jalabhar-Xho,Jalabhar Xho,8.57E-04,5,16,254.6507764,3,0.048444252,
Oberyn-Martell,Oberyn Martell,0.00283345,20,192,3094.080631,3,0.253539953,Oberyn
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron),7.15E-04,4,18,0,5,0.058368833,
Torrhen-Stark,Torrhen Stark,4.89E-04,2,6,0,2,0.030018082,
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),0.002558203,15,136,1897.530074,3,0.105490932,Aegon
Elia-Martell,Elia Martell,0.001457204,9,56,852.172,3,0.154184993,
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight),3.19E-04,1,3,0,3,0.030339206,
Cotter-Pyke,Cotter Pyke,0.001499843,10,68,81.90972049,1,0.090944664,
Denys-Mallister,Denys Mallister,0.001347824,9,59,3.961469874,1,0.071965035,
Owen,Owen,0.001525974,10,55,253.9487493,1,0.076819261,
Wynton-Stout,Wynton Stout,3.25E-04,1,3,0,1,0.006692821,
Rossart,Rossart,3.38E-04,1,4,0,2,0.008992674,
Alerie-Hightower,Alerie Hightower,4.16E-04,2,6,0,3,0.023310349,
Lamprey,Lamprey,8.23E-04,4,19,0.333333333,7,0.013900857,
Alla-Tyrell,Alla Tyrell,8.31E-04,5,43,3.710908081,3,0.046722096,
Elinor-Tyrell,Elinor Tyrell,8.54E-04,5,44,9.959763662,3,0.044599745,
Megga-Tyrell,Megga Tyrell,7.03E-04,4,49,0,3,0.042622228,
Anders-Yronwood,Anders Yronwood,4.68E-04,2,7,5.245087987,0,0.011781602,
Andrew-Estermont,Andrew Estermont,8.76E-04,3,11,794,7,0.010229812,
Edric-Storm,Edric Storm,0.001127098,6,44,508.3877157,7,0.066941668,
Gerald-Gower,Gerald Gower,4.37E-04,1,3,0,7,7.81E-04,
Anguy,Anguy,0.001438122,9,81,398.4657038,4,0.062807885,
Greenbeard,Greenbeard,0.001123116,7,44,1.806547619,4,0.047520635,
Husband,Husband,4.60E-04,2,7,0,4,0.006761802,
Lem,Lem,0.00238924,15,155,1872.437317,4,0.107173886,Lem
Sharna,Sharna,7.38E-04,4,15,0.5,4,0.011666083,
Tom-of-Sevenstreams,Tom of Sevenstreams,0.001423791,9,85,135.3004495,4,0.053521815,
Arson,Arson,3.30E-04,1,3,0,1,0.024617956,
Arstan,Arstan,0.001393236,8,90,39.11568451,0,0.03811582,
Kraznys-mo-Nakloz,Kraznys mo Nakloz,4.88E-04,2,19,0,0,0.014320922,
Mero,Mero,9.44E-04,4,24,794,0,0.020912868,
Lewyn-Martell,Lewyn Martell,0.001087093,4,12,416.1150379,2,0.006177181,
Smiling-Knight,Smiling Knight,8.74E-04,2,7,794,2,0.001578259,
Elmar-Frey,Elmar Frey,0.001325238,9,45,33.26710316,5,0.168063607,
Mad-Huntsman,Mad Huntsman,3.25E-04,1,4,0,4,0.024202024,
Pate-(Old),Pate (Old),3.25E-04,1,4,0,4,0.024202024,
Ravella-Swann,Ravella Swann,3.25E-04,1,7,0,4,0.024202024,
Porridge,Porridge,6.64E-04,3,14,0,7,0.011435252,
Azor-Ahai,Azor Ahai,3.19E-04,1,6,0,7,0.0261204,
Baelor-I-Targaryen,Baelor I Targaryen,5.49E-04,3,14,0,3,0.092820432,
Frenken,Frenken,4.22E-04,1,4,0,3,0.001702481,
Bannen,Bannen,4.65E-04,2,16,0,1,0.011458541,
Bedwyck,Bedwyck,8.63E-04,5,18,0,1,0.02283774,
Ben-Plumm,Ben Plumm,0.001523877,9,63,339.7746713,0,0.0766501,
Oznak-zo-Pahl,Oznak zo Pahl,4.74E-04,2,12,0,0,0.015210709,
Daario-Naharis,Daario Naharis,0.003017966,19,196,1725.855124,0,0.069176807,Daario
Jack-Bulwer,Jack Bulwer,9.71E-04,5,19,48.35911348,4,0.040545767,
Big-Boil,Big Boil,4.85E-04,2,6,0,1,0.027414182,
Blane,Blane,3.20E-04,1,3,0,1,0.007716897,
Othell-Yarwyck,Othell Yarwyck,0.001642302,11,81,23.0712128,1,0.070738737,
Coldhands,Coldhands,7.19E-04,4,20,5.018988164,5,0.027295497,
Brella,Brella,4.30E-04,2,12,0,3,0.033467538,
Brenett,Brenett,3.15E-04,1,3,0,5,0.0241265,
Walton,Walton,9.95E-04,5,34,794,3,0.066296924,
Butterbumps,Butterbumps,4.27E-04,2,10,0,3,0.033365601,
Olenna-Redwyne,Olenna Redwyne,0.001304265,9,55,92.32442007,3,0.190939501,
Byam-Flint,Byam Flint,3.32E-04,1,3,0,1,0.003402473,
Dacey-Mormont,Dacey Mormont,5.91E-04,3,11,0,5,0.050699401,
Jeyne-Westerling,Jeyne Westerling,9.17E-04,5,49,320.4100286,5,0.060109584,
Lothar-Frey,Lothar Frey,0.001691527,11,50,87.62505806,5,0.095211821,
Raynald-Westerling,Raynald Westerling,6.56E-04,3,16,10.1469697,5,0.049516158,
Robin-Ryger,Robin Ryger,4.45E-04,2,12,0,3,0.054465706,
Roslin-Frey,Roslin Frey,8.20E-04,5,43,0,5,0.068407847,
Ryman-Frey,Ryman Frey,0.001903717,12,64,322.1649368,3,0.120068608,
Tansy,Tansy,9.49E-04,6,25,60.11688709,5,0.056153075,
Ellaria-Sand,Ellaria Sand,9.72E-04,6,24,312.0780685,11,0.087121597,
Willas-Tyrell,Willas Tyrell,0.001150811,8,37,5.222815711,3,0.141803549,
Small-Paul,Small Paul,0.001029082,6,44,3.759000663,1,0.02821434,
Cleon,Cleon,7.33E-04,3,21,6.031818182,0,0.01633217,
Ghael,Ghael,5.48E-04,2,13,0,0,0.0134573,
Clubfoot-Karl,Clubfoot Karl,4.66E-04,2,9,0,1,0.012389131,
Gilly,Gilly,0.002197667,14,216,355.1647739,1,0.079079861,Gilly
Dirk,Dirk,4.66E-04,2,10,0,1,0.012389131,
Tormund,Tormund,0.002709671,15,180,1625.360867,1,0.063632607,Tormund
Prendahl-na-Ghezn,Prendahl na Ghezn,5.63E-04,2,9,0,0,0.003919186,
Sallor,Sallor,5.63E-04,2,9,0,0,0.003919186,
Grey-Worm,Grey Worm,0.001262163,8,59,10.29044614,0,0.04693953,
Groleo,Groleo,0.001024352,6,34,11.28212612,0,0.036115578,
Missandei,Missandei,0.001419352,9,121,30.39831133,0,0.049891939,
Rhaegel-Targaryen,Rhaegel Targaryen,3.40E-04,1,5,0,0,0.012422001,
Daeron-I-Targaryen,Daeron I Targaryen,3.28E-04,1,3,0,7,0.004681088,
Dalla,Dalla,9.87E-04,6,51,11.08284627,1,0.074338214,
Val,Val,0.001419399,9,125,256.3100272,1,0.103873073,
Guncer-Sunglass,Guncer Sunglass,4.76E-04,2,7,0,7,0.014236224,
Khorane-Sathmantes,Khorane Sathmantes,6.34E-04,3,11,0,7,0.035264486,
Dick-Follard,Dick Follard,4.70E-04,2,8,0,1,0.027313806,
Satin,Satin,0.002135174,13,101,928.2332013,1,0.056971836,
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg,4.71E-04,2,9,0,1,0.027987087,
Lothor-Brune,Lothor Brune,8.41E-04,5,30,14.32950557,5,0.059990057,
Watt,Watt,3.16E-04,1,3,0,1,0.004432,
Errok,Errok,6.67E-04,3,14,0.333333333,1,0.028246367,
Grigg,Grigg,6.65E-04,3,15,0.333333333,1,0.028263748,
Styr,Styr,0.001393913,8,99,6.700793651,1,0.048068603,
Galyeon-of-Cuy,Galyeon of Cuy,3.16E-04,1,3,0,3,0.034764842,
Leonette-Fossoway,Leonette Fossoway,3.30E-04,1,3,0,3,0.004888705,
Gawen-Westerling,Gawen Westerling,5.12E-04,2,6,0.833333333,7,0.005090255,
Sybell-Spicer,Sybell Spicer,0.001183644,6,19,745.4518738,7,0.069010102,
Gendel,Gendel,5.74E-04,2,6,0,1,0.02590258,
Gorne,Gorne,5.74E-04,2,6,0,1,0.02590258,
Merrit,Merrit,3.26E-04,1,3,0,4,0.005926687,
Grazdan-mo-Eraz,Grazdan mo Eraz,3.89E-04,1,3,0,0,0.001213736,
Kegs,Kegs,0.001150705,7,29,3.114587647,1,0.041719892,
Jarl,Jarl,0.001375909,8,68,6.522222222,1,0.049062708,
Grisel,Grisel,3.07E-04,1,3,0,2,0.019905315,
Hareth-(Moles-Town),Hareth (Moles Town),0.001987457,11,60,695.4378368,1,0.0409061,
Mully,Mully,0.001493862,9,46,11.79603175,1,0.046479642,
Spare-Boot,Spare Boot,0.001033812,6,23,0.4,1,0.036784418,
Harma,Harma,0.001441166,8,39,12.32857143,1,0.047409117,
Varamyr,Varamyr,0.001708924,6,39,2379,1,0.037267512,
Weeper,Weeper,9.04E-04,5,24,2,1,0.035532752,
Jack-Be-Lucky,Jack Be Lucky,3.24E-04,1,5,0,4,0.004171453,
Shagwell,Shagwell,0.001065092,6,34,63.05424042,3,0.053426669,
Urswyck,Urswyck,3.19E-04,1,11,0,3,0.030339206,
Joanna-Lannister,Joanna Lannister,3.05E-04,1,4,0,3,0.020801399,
Orell,Orell,4.85E-04,2,9,0,1,0.027414182,
Ryk,Ryk,7.78E-04,4,29,0,1,0.03309376,
Zei,Zei,3.30E-04,1,3,0,1,0.024617956,
Jon-Umber-(Smalljon),Jon Umber (Smalljon),4.50E-04,2,9,0,5,0.029349605,
Robin-Flint,Robin Flint,6.21E-04,3,9,0,5,0.031787091,
Jonothor-Darry,Jonothor Darry,6.64E-04,2,6,0,2,0.001277845,
Joramun,Joramun,4.47E-04,2,10,0,1,0.016176236,
Kella,Kella,3.04E-04,1,3,0,3,0.026888288,
Willem-Lannister,Willem Lannister,9.94E-04,4,15,827.8584207,5,0.035127847,
Softfoot,Softfoot,3.57E-04,1,3,0,1,0.002086547,
Symon-Silver-Tongue,Symon Silver Tongue,5.72E-04,3,13,0,3,0.04441162,
Merrett-Frey,Merrett Frey,4.37E-04,2,6,2.769433681,5,0.023527516,
Walder-Rivers,Walder Rivers,8.65E-04,5,24,19.42592389,3,0.064459475,
Mallador-Locke,Mallador Locke,3.48E-04,1,4,0,1,0.002448632,
Martyn-Lannister,Martyn Lannister,5.16E-04,2,6,9.828132605,5,0.022353625,
Munda,Munda,3.42E-04,1,4,0,1,0.002962739,
Nage,Nage,3.58E-04,1,3,0,3,0.002549841,
Oswell-Kettleblack,Oswell Kettleblack,4.22E-04,2,9,0,3,0.046793603,
Yohn-Royce,Yohn Royce,0.001354364,8,40,623.710171,2,0.06058924,
Petyr-Frey,Petyr Frey,4.50E-04,2,8,0.333333333,3,0.012069319,
Ragwyle,Ragwyle,3.34E-04,1,3,0,1,0.003325836,
Rollam-Westerling,Rollam Westerling,5.01E-04,2,7,0,5,0.026150151,
Rhaella-Targaryen,Rhaella Targaryen,4.44E-04,2,6,0,2,0.013016835,
Rolph-Spicer,Rolph Spicer,3.16E-04,1,5,0,5,0.024166275,
Tristifer-IV-Mudd,Tristifer IV Mudd,3.16E-04,1,3,0,5,0.024166275,
Zollo,Zollo,7.36E-04,4,14,0.2,3,0.039954683,
Simon-Toyne,Simon Toyne,5.60E-04,1,3,0,2,4.66E-04,
Tion-Frey,Tion Frey,4.00E-04,1,6,0,5,0.001552226,
Lyle-Crakehall,Lyle Crakehall,8.27E-04,5,27,2.852417027,3,0.059147165,
Daven-Lannister,Daven Lannister,5.81E-04,3,18,0,3,0.041631306,
Edwyn-Frey,Edwyn Frey,7.22E-04,4,25,0.326923077,3,0.045617511,
Emmon-Frey,Emmon Frey,0.001330069,8,44,146.5100983,3,0.077382936,
Orton-Merryweather,Orton Merryweather,0.001356427,10,43,25.69202636,3,0.141315374,
Falyse-Stokeworth,Falyse Stokeworth,7.09E-04,4,34,1.740400125,3,0.050351982,
Tallad,Tallad,0.001033549,6,19,266.5859121,3,0.049745948,
Dorcas,Dorcas,9.06E-04,6,41,1.64397357,3,0.063138649,
Garth-Tyrell,Garth Tyrell,3.06E-04,1,3,0,3,0.031167302,
High-Sparrow,High Sparrow,0.001207464,8,76,11.88951868,3,0.082929899,
Jocelyn-Swyft,Jocelyn Swyft,7.80E-04,5,31,0.578571429,3,0.055984202,
Maggy,Maggy,5.17E-04,2,8,0,3,0.03360972,
Mark-Mullendore,Mark Mullendore,3.06E-04,1,3,0,3,0.031167302,
Melara-Hetherspoon,Melara Hetherspoon,9.95E-04,4,15,816.4508315,3,0.063406156,
Raynard,Raynard,7.29E-04,2,7,794,3,0.031588724,
Senelle,Senelle,4.19E-04,2,12,0,3,0.043106011,
Taena-of-Myr,Taena of Myr,0.001644736,12,105,155.3020107,3,0.171377384,
Unella,Unella,8.12E-04,4,43,1,3,0.037284969,
Moelle,Moelle,6.67E-04,3,26,0,3,0.034295699,
Robert-Strong,Robert Strong,6.74E-04,4,14,9.657084502,3,0.054765958,
Scolera,Scolera,6.67E-04,3,27,0,3,0.034295699,
Mariya-Darry,Mariya Darry,4.38E-04,2,11,0,3,0.039186877,
Shadrich,Shadrich,5.40E-04,2,7,41.86856437,3,0.031334129,
Josmyn-Peckledon,Josmyn Peckledon,4.82E-04,2,23,0,3,0.033128789,
Joy-Hill,Joy Hill,3.19E-04,1,3,0,3,0.030339206,
Lewys-Piper,Lewys Piper,3.19E-04,1,3,0,3,0.030339206,
Pia,Pia,7.70E-04,4,22,41.29862548,3,0.074110538,
Rennifer-Longwaters,Rennifer Longwaters,7.49E-04,2,6,794,3,0.030760451,
Ronnet-Connington,Ronnet Connington,4.38E-04,2,7,0,3,0.039789844,
Shitmouth,Shitmouth,3.19E-04,1,3,0,3,0.030339206,
Wylis-Manderly,Wylis Manderly,4.35E-04,2,6,0,3,0.051140605,
Franklyn-Flowers,Franklyn Flowers,8.44E-04,3,10,794,3,0.009825555,
Haldon,Haldon,0.001807301,11,135,90.05687706,3,0.063085169,
Harry-Strickland,Harry Strickland,7.09E-04,3,31,1.685714286,3,0.010024074,
Jon-Connington,Jon Connington,0.002775426,16,169,4005.099635,3,0.139772747,Jon Connington
Lemore,Lemore,0.001175332,7,54,0.642857143,3,0.053712924,
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar),3.33E-04,1,4,0,3,0.004177069,
Rolly-Duckfield,Rolly Duckfield,0.001307552,8,101,4.254151404,3,0.057726953,
Yandry,Yandry,0.001175332,7,65,0.642857143,3,0.053712924,
Ysilla,Ysilla,0.001025347,6,46,0,3,0.048662399,
Alleras,Alleras,0.001810383,8,48,4481.463732,10,0.02020659,
Armen,Armen,0.001516745,6,23,5.333333333,10,0.00510738,
Leo-Tyrell,Leo Tyrell,0.001220896,5,24,1643.409451,10,0.012420407,
Marwyn,Marwyn,7.31E-04,3,12,177.351886,10,0.011042926,
Mollander,Mollander,0.001086135,4,20,1.25,10,0.003433749,
Pate-(novice),Pate (novice),0.00222707,7,47,3169.25,10,0.004913602,Pate
Roone,Roone,0.001034332,4,20,0.25,10,0.003630182,
Lanna-(Happy-Port),Lanna (Happy Port),3.54E-04,1,4,0,1,0.002807691,
Kojja-Mo,Kojja Mo,4.57E-04,2,15,0,1,0.012436054,
Sigorn,Sigorn,7.69E-04,4,17,17.12209034,1,0.059369605,
Tycho-Nestoris,Tycho Nestoris,6.40E-04,3,22,168.5388105,1,0.055357889,
Narbert-Grandison,Narbert Grandison,0.001220705,6,24,256.3651555,7,0.034139378,
Wick-Whittlestick,Wick Whittlestick,4.55E-04,2,10,0,1,0.029831199,
Malegorn,Malegorn,8.32E-04,4,19,110.7475541,7,0.032050804,
Leathers,Leathers,9.94E-04,5,37,7.166666667,1,0.032685233,
Rory,Rory,4.84E-04,2,10,0,1,0.02670479,
Patrek-of-Kings-Mountain,Patrek of Kings Mountain,8.13E-04,4,20,0.333333333,7,0.032912762,
Soren-Shieldbreaker,Soren Shieldbreaker,3.30E-04,1,3,0,1,0.024617956,
Tom-Barleycorn,Tom Barleycorn,3.30E-04,1,4,0,1,0.024617956,
Toregg,Toregg,6.53E-04,3,18,0,1,0.029201099,
Ulmer,Ulmer,3.30E-04,1,3,0,1,0.024617956,
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun,8.09E-04,4,28,3.049679487,1,0.032846923,
Xhondo,Xhondo,5.62E-04,2,22,0,1,0.009736332,
Theobald,Theobald,3.23E-04,1,7,0,1,0.008986658,
Baelor-Blacktyde,Baelor Blacktyde,9.87E-04,4,15,0,6,0.013741933,
Dunstan-Drumm,Dunstan Drumm,8.46E-04,3,10,2.317099567,6,0.006310921,
Emmond,Emmond,4.09E-04,1,4,0,6,0.00218673,
Gormond-Goodbrother,Gormond Goodbrother,4.09E-04,1,6,0,6,0.00218673,
Gorold-Goodbrother,Gorold Goodbrother,6.31E-04,2,13,0,6,0.005271881,
Greydon-Goodbrother,Greydon Goodbrother,4.09E-04,1,4,0,6,0.00218673,
Meldred-Merlyn,Meldred Merlyn,6.31E-04,2,10,0,6,0.005271881,
Murenmure,Murenmure,5.64E-04,2,14,0,6,0.018448533,
Rus,Rus,4.09E-04,1,5,0,6,0.00218673,
Red-Oarsman,Red Oarsman,9.93E-04,3,12,1586,6,0.007154807,
Rodrik-Harlaw,Rodrik Harlaw,0.001776619,7,30,672.8914888,6,0.012440821,
Tristifer-Botley,Tristifer Botley,8.19E-04,3,24,0,6,0.006135979,
Justin-Massey,Justin Massey,0.001054728,5,40,15.15952381,6,0.036547311,
Clayton-Suggs,Clayton Suggs,6.51E-04,3,15,0,7,0.033765322,
Godry-Farring,Godry Farring,0.001262195,7,29,318.9211379,7,0.074745226,
Grimtongue,Grimtongue,0.001076376,4,17,401.2208438,6,0.007297483,
Hagen,Hagen,0.001549923,6,21,410.2208438,6,0.008523579,
Qarl-the-Maid,Qarl the Maid,8.19E-04,3,16,0,6,0.006135979,
Rolfe-the-Dwarf,Rolfe the Dwarf,3.67E-04,1,3,0,6,0.004619532,
Sybelle-Glover,Sybelle Glover,5.86E-04,2,6,5.720843776,6,0.00597373,
Torgon-Greyiron,Torgon Greyiron,3.67E-04,1,3,0,6,0.004619532,
Hotho-Harlaw,Hotho Harlaw,0.001103664,4,16,186.6596136,6,0.006689858,
Humfrey-Hewett,Humfrey Hewett,6.16E-04,2,7,0,6,0.005169286,
Nute,Nute,0.001106417,4,24,2.833333333,6,0.006771875,
Quellon-Greyjoy,Quellon Greyjoy,6.16E-04,2,7,0,6,0.005169286,
Sawane-Botley,Sawane Botley,3.95E-04,1,3,0,6,0.002084135,
Yellow-Dick,Yellow Dick,6.68E-04,3,15,0,6,0.025089503,
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett),4.64E-04,2,7,0,3,0.028600947,
Willow-Witch-eye,Willow Witch eye,3.44E-04,1,4,0,6,0.016261803,
Wulfe,Wulfe,4.10E-04,1,3,0,6,0.003085151,
Denys-Darklyn,Denys Darklyn,3.38E-04,1,4,0,2,0.008992674,
Elbert-Arryn,Elbert Arryn,3.38E-04,1,3,0,2,0.008992674,
Owen-Merryweather,Owen Merryweather,3.38E-04,1,3,0,2,0.008992674,
Quentyn-Martell,Quentyn Martell,0.003559858,19,246,3582.125519,0,0.059748199,Quentyn
Gerris-Drinkwater,Gerris Drinkwater,0.001739586,9,100,838.5828082,0,0.038199691,
Bloodbeard,Bloodbeard,8.01E-04,4,14,35.41700829,0,0.031158282,
Galazza-Galare,Galazza Galare,0.001083629,6,57,24.25213129,0,0.034887401,
Grazhar,Grazhar,6.66E-04,3,12,11.87545091,0,0.016940523,
Hizdahr-zo-Loraq,Hizdahr zo Loraq,0.003720512,22,292,1871.069071,0,0.064513251,Hizdahr
Khrazz,Khrazz,0.001013163,5,28,235.9483477,0,0.020318856,
Larraq,Larraq,3.15E-04,1,3,0,0,0.014034214,
Reznak-mo-Reznak,Reznak mo Reznak,8.96E-04,5,49,0,0,0.033966243,
Skahaz-mo-Kandaq,Skahaz mo Kandaq,0.001856362,12,135,18.75745945,0,0.050774945,
Steelskin,Steelskin,6.31E-04,3,9,0,0,0.018504197,
Widower,Widower,3.15E-04,1,3,0,0,0.014034214,
Willam-Dustin,Willam Dustin,4.35E-04,2,7,0,2,0.052092503,
Walgrave,Walgrave,9.70E-04,2,13,794,10,0.001156349,
Quill,Quill,4.59E-04,1,4,0,10,7.60E-04,
Rosey,Rosey,4.59E-04,1,9,0,10,7.60E-04,
Alys-Arryn,Alys Arryn,7.55E-04,2,7,794,2,0.010808443,
Elys-Waynwood,Elys Waynwood,5.09E-04,1,4,0,2,7.29E-04,
Amerei-Frey,Amerei Frey,5.77E-04,3,20,0.725490196,3,0.040134519,
Tattered-Prince,Tattered Prince,0.001788714,8,45,1854.933831,0,0.022259232,
Andrey-Dalt,Andrey Dalt,9.42E-04,5,37,12.9506873,11,0.016915728,
Arianne-Martell,Arianne Martell,0.00382385,20,189,5642.682025,11,0.056868373,Arianne
Garin-(orphan),Garin (orphan),0.001604954,9,63,251.9922331,11,0.023397449,
Sylva-Santagar,Sylva Santagar,9.42E-04,5,33,12.9506873,11,0.016915728,
Tyene-Sand,Tyene Sand,0.001678971,9,57,844.7529104,11,0.025021391,
Obara-Sand,Obara Sand,0.001078973,6,68,7.860822511,11,0.016019753,
Cedra,Cedra,5.03E-04,2,13,0,11,0.004199886,
Franklyn-Fowler,Franklyn Fowler,3.51E-04,1,3,0,11,0.002800731,
Gerold-Dayne,Gerold Dayne,8.66E-04,5,34,2.882983718,11,0.025854481,
Mellei,Mellei,6.10E-04,2,8,0,11,0.003338428,
Morra,Morra,6.10E-04,2,8,0,11,0.003338428,
Ricasso,Ricasso,8.00E-04,2,7,794,11,0.003199681,
Timoth,Timoth,3.51E-04,1,3,0,11,0.002800731,
Nymeria-Sand,Nymeria Sand,7.75E-04,4,40,5.705927401,11,0.011485506,
Anya-Waynwood,Anya Waynwood,0.001284264,7,44,184.3015202,2,0.027400777,
Benedar-Belmore,Benedar Belmore,9.56E-04,5,21,138.9234968,2,0.024338058,
Gilwood-Hunter,Gilwood Hunter,9.57E-04,5,22,86.9215484,2,0.016317674,
Harrold-Hardyng,Harrold Hardyng,6.26E-04,3,13,2.666984127,2,0.009896649,
Horton-Redfort,Horton Redfort,8.13E-04,4,21,0.583333333,2,0.006160566,
Symond-Templeton,Symond Templeton,9.32E-04,5,23,11.92792202,2,0.026065881,
Areo-Hotah,Areo Hotah,0.001397868,9,118,41.15350974,11,0.046405176,
Caleotte,Caleotte,7.03E-04,4,27,23.03893116,11,0.026261765,
Bellegere-Otherys,Bellegere Otherys,3.25E-04,1,3,0,4,0.024202024,
Brea,Brea,7.91E-04,3,15,0.5,4,0.026638094,
Brusco,Brusco,5.49E-04,2,16,0,4,0.025486486,
Denyo-Terys,Denyo Terys,5.64E-04,2,11,0,4,0.025416763,
Kindly-Man,Kindly Man,5.64E-04,2,30,0,4,0.025416763,
Meralyn,Meralyn,3.25E-04,1,9,0,4,0.024202024,
Talea,Talea,5.49E-04,2,8,0,4,0.025486486,
Ternesio-Terys,Ternesio Terys,5.64E-04,2,8,0,4,0.025416763,
Umma,Umma,3.25E-04,1,6,0,4,0.024202024,
Waif,Waif,5.64E-04,2,33,0,4,0.025416763,
Yorko-Terys,Yorko Terys,3.25E-04,1,6,0,4,0.024202024,
Timeon,Timeon,7.45E-04,4,22,9.027312017,3,0.034713894,
Sigfryd-Harlaw,Sigfryd Harlaw,6.39E-04,2,7,0,6,0.001776482,
Aurane-Waters,Aurane Waters,0.001243299,9,37,24.68121765,3,0.120521724,
Theomore,Theomore,4.64E-04,2,6,0,7,0.032136093,
William-Foxglove,William Foxglove,3.19E-04,1,3,0,7,0.0261204,
Balman-Byrch,Balman Byrch,5.77E-04,3,24,0,3,0.043038232,
Hyle-Hunt,Hyle Hunt,0.001127783,7,59,90.23400308,3,0.093187844,
Clarence-Crabb,Clarence Crabb,3.22E-04,1,4,0,3,0.015596186,
Creighton-Longbough,Creighton Longbough,7.82E-04,3,27,8.080952381,3,0.017910779,
Dick-Crabb,Dick Crabb,0.001033876,5,39,807.1547999,3,0.068397409,
Elder-Brother,Elder Brother,6.85E-04,3,11,0,3,0.017900143,
Illifer,Illifer,5.43E-04,2,23,0,3,0.016591109,
Jeyne-Heddle,Jeyne Heddle,3.22E-04,1,4,0,3,0.015596186,
Meribald,Meribald,9.95E-04,5,47,5.243514584,3,0.025925808,
Narbert,Narbert,6.85E-04,3,14,0,3,0.017900143,
Pyg,Pyg,7.61E-04,4,22,0.9,3,0.023714496,
Willow-Heddle,Willow Heddle,4.59E-04,2,8,0,3,0.021522873,
Blue-Bard,Blue Bard,8.62E-04,5,23,286.6628087,3,0.053380321,
Lambert-Turnberry,Lambert Turnberry,6.27E-04,3,9,0.333333333,3,0.006207803,
Bonifer-Hasty,Bonifer Hasty,3.19E-04,1,4,0,3,0.030339206,
Brynden-Rivers,Brynden Rivers,4.57E-04,2,17,0,5,0.020262804,
Leaf,Leaf,4.57E-04,2,11,0,5,0.020262804,
Eustace-Brune,Eustace Brune,3.64E-04,1,3,0,3,0.002607713,
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz,0.001022397,5,48,1.833333333,3,0.042537268,
Forley-Prester,Forley Prester,4.50E-04,2,6,0,3,0.011839578,
Genna-Lannister,Genna Lannister,5.76E-04,3,15,0,3,0.05411359,
Cedric-Payne,Cedric Payne,3.37E-04,1,3,0,3,0.004904458,
Torbert,Torbert,4.98E-04,1,4,0,3,0.001388076,
Gretchel,Gretchel,7.39E-04,4,21,3.795424493,5,0.036866606,
Maddy,Maddy,9.00E-04,5,28,11.59063472,5,0.038404848,
Terrance-Lynderly,Terrance Lynderly,9.79E-04,3,12,794,5,0.007042303,
Daemon-Sand,Daemon Sand,4.32E-04,2,6,0,11,0.016316876,
Emmett,Emmett,9.08E-04,5,34,7.022410576,1,0.044057252,
Ralf-Stonehouse,Ralf Stonehouse,6.45E-04,2,6,0,6,0.003825233,
Garrett-Paege,Garrett Paege,3.19E-04,1,3,0,3,0.030339206,
Gerold-Grafton,Gerold Grafton,4.66E-04,1,3,0,5,6.69E-04,
Gormon-Tyrell,Gormon Tyrell,6.01E-04,1,3,0,10,4.58E-04,
Gyles-Grafton,Gyles Grafton,6.04E-04,2,8,0,5,0.00668194,
Harras-Harlaw,Harras Harlaw,4.10E-04,1,3,0,6,0.003085151,
Hugo-Vance,Hugo Vance,3.19E-04,1,3,0,3,0.030339206,
